feature_name,num_repos,num_still_present,num_retired,min_first_seen_date,max_first_seen_date,min_last_seen_date,max_last_seen_date,avg_lifetime_days,median_lifetime_days
const_generics_defaults,2,2,0,2021-07-28T00:50:11+00:00,2023-01-18T21:05:34+00:00,2025-11-01T20:24:49+00:00,2025-11-19T02:17:02+00:00,1296.00,1296.00
const_mut_refs,1,0,1,2023-11-08T01:43:01+00:00,2023-11-08T01:43:01+00:00,2023-12-14T01:22:09+00:00,2023-12-14T01:22:09+00:00,35.00,35.00
const_ptr_null,1,0,1,2018-11-16T01:44:51+00:00,2018-11-16T01:44:51+00:00,2018-11-16T01:44:51+00:00,2018-11-16T01:44:51+00:00,0.00,0.00
const_ptr_null_mut,1,0,1,2017-10-04T21:21:03+00:00,2017-10-04T21:21:03+00:00,2022-02-15T19:37:09+00:00,2022-02-15T19:37:09+00:00,1594.00,1594.00
const_raw_ptr_to_usize_cast,1,0,1,2019-02-04T23:19:35+00:00,2019-02-04T23:19:35+00:00,2022-06-13T16:03:43+00:00,2022-06-13T16:03:43+00:00,1224.00,1224.00
const_size_of,1,0,1,2018-01-07T16:32:32+00:00,2018-01-07T16:32:32+00:00,2018-01-08T12:01:52+00:00,2018-01-08T12:01:52+00:00,0.00,0.00
const_size_of_val,1,1,0,2023-01-18T21:05:34+00:00,2023-01-18T21:05:34+00:00,2025-11-19T02:17:02+00:00,2025-11-19T02:17:02+00:00,1035.00,1035.00
const_trait_impl,1,1,0,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,0.00,0.00
const_transmute,1,0,1,2019-05-03T02:39:47+00:00,2019-05-03T02:39:47+00:00,2019-05-03T02:42:22+00:00,2019-05-03T02:42:22+00:00,0.00,0.00
const_type_id,2,0,2,2021-10-19T00:57:41+00:00,2023-02-13T00:28:12+00:00,2022-01-21T22:23:01+00:00,2022-01-21T22:23:01+00:00,94.00,94.00
control_flow_enum,2,0,2,2021-05-19T20:26:03+00:00,2023-02-21T17:13:12+00:00,2023-02-21T17:13:12+00:00,2024-05-08T04:33:00+00:00,542.00,542.00
convert,4,0,4,2015-03-25T18:35:19+00:00,2015-03-29T06:54:20+00:00,2015-04-03T09:31:15+00:00,2015-09-05T22:59:27+00:00,60.67,14.00
core,13,0,13,2015-01-29T17:31:30+00:00,2015-05-13T18:14:17+00:00,2015-02-03T19:51:17+00:00,2015-12-13T17:43:11+00:00,75.44,37.00
core_c_str,1,1,0,2022-07-05T16:26:20+00:00,2022-07-05T16:26:20+00:00,2025-11-18T19:08:08+00:00,2025-11-18T19:08:08+00:00,1232.00,1232.00
core_intrinsics,12,1,11,2017-07-31T06:37:37+00:00,2025-07-02T08:21:11+00:00,2017-08-05T21:39:11+00:00,2025-11-19T02:17:02+00:00,429.08,45.50
core_panic_info,1,0,1,2018-08-01T15:04:04+00:00,2018-08-01T15:04:04+00:00,2021-12-01T08:24:53+00:00,2021-12-01T08:24:53+00:00,1217.00,1217.00
coroutine_trait,2,2,0,2025-03-14T19:21:59+00:00,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,2025-11-01T20:24:49+00:00,116.00,116.00
coroutines,2,2,0,2025-03-14T19:21:59+00:00,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,2025-11-01T20:24:49+00:00,116.00,116.00
coverage_attribute,4,4,0,2024-03-16T20:17:50+00:00,2025-01-31T14:25:18+00:00,2025-04-18T04:08:20+00:00,2025-10-31T11:34:40+00:00,256.50,244.00
crate_visibility_modifier,2,0,2,2019-05-10T16:59:12+00:00,2019-10-08T01:28:31+00:00,2019-09-01T19:56:17+00:00,2022-05-04T17:07:16+00:00,526.50,526.50
custom_attribute,4,1,3,2015-03-20T13:49:56+00:00,2017-08-25T21:21:19+00:00,2016-01-30T13:08:25+00:00,2025-11-01T20:24:49+00:00,2021.00,2021.00
custom_derive,4,0,4,2015-03-09T05:38:01+00:00,2017-08-19T18:36:50+00:00,2016-01-30T13:08:25+00:00,2016-09-28T18:59:25+00:00,442.00,442.00
custom_test_frameworks,1,1,0,2024-05-13T01:54:44+00:00,2024-05-13T01:54:44+00:00,2025-07-27T12:16:28+00:00,2025-07-27T12:16:28+00:00,440.00,440.00
darwin_objc,1,1,0,2025-09-29T17:35:35+00:00,2025-09-29T17:35:35+00:00,2025-11-04T03:44:24+00:00,2025-11-04T03:44:24+00:00,35.00,35.00
debug_refcell,1,0,1,2023-07-13T18:12:28+00:00,2023-07-13T18:12:28+00:00,2024-02-09T18:15:59+00:00,2024-02-09T18:15:59+00:00,211.00,211.00
debugger_visualizer,1,0,1,2022-09-21T17:14:56+00:00,2022-09-21T17:14:56+00:00,2023-05-10T21:44:50+00:00,2023-05-10T21:44:50+00:00,231.00,231.00
decl_macro,6,1,5,2018-01-29T12:59:15+00:00,2022-02-21T11:24:22+00:00,2018-10-18T02:38:57+00:00,2023-04-06T04:40:49+00:00,193.60,192.00
default_alloc_error_handler,1,0,1,2021-05-07T13:48:30+00:00,2021-05-07T13:48:30+00:00,,,,
default_struct_values,1,1,0,2024-12-22T23:55:42+00:00,2024-12-22T23:55:42+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,313.00,313.00
default_type_params,3,0,3,2014-06-17T08:48:36+00:00,2015-01-05T10:02:52+00:00,2015-01-08T05:57:46+00:00,2015-01-09T08:31:17+00:00,2.50,2.50
derive_coerce_pointee,1,1,0,2024-12-30T06:34:47+00:00,2024-12-30T06:34:47+00:00,2025-11-04T03:44:24+00:00,2025-11-04T03:44:24+00:00,308.00,308.00
destructuring_assignment,1,0,1,2021-06-23T13:55:21+00:00,2021-06-23T13:55:21+00:00,2021-07-21T12:14:38+00:00,2021-07-21T12:14:38+00:00,27.00,27.00
doc_auto_cfg,35,16,19,2022-01-03T13:48:18+00:00,2025-09-04T13:09:06+00:00,2022-02-18T13:28:36+00:00,2025-11-18T20:44:11+00:00,439.48,266.00
doc_cfg,56,47,9,2019-01-18T22:19:39+00:00,2025-10-30T12:51:17+00:00,2021-10-14T21:59:22+00:00,2025-11-19T22:03:41+00:00,813.45,652.00
doc_cfg_hide,5,2,3,2022-07-18T21:44:15+00:00,2025-07-21T20:34:16+00:00,2025-10-02T13:00:54+00:00,2025-11-09T15:49:57+00:00,637.25,708.00
doc_notable_trait,1,0,1,2022-02-05T16:43:10+00:00,2022-02-05T16:43:10+00:00,2022-02-23T22:13:06+00:00,2022-02-23T22:13:06+00:00,18.00,18.00
drain,1,0,1,2015-08-07T01:08:03+00:00,2015-08-07T01:08:03+00:00,2015-09-08T18:23:07+00:00,2015-09-08T18:23:07+00:00,32.00,32.00
drain_filter,2,0,2,2022-11-10T00:51:33+00:00,2022-11-26T23:45:01+00:00,2022-11-10T23:01:35+00:00,2023-04-25T18:54:19+00:00,74.50,74.50
dropck_eyepatch,2,0,2,2021-12-16T17:21:19+00:00,2022-01-06T08:30:16+00:00,2022-02-22T20:33:21+00:00,2022-02-23T22:13:06+00:00,58.00,58.00
duration_span,1,0,1,2015-08-20T06:02:11+00:00,2015-08-20T06:02:11+00:00,,,,
