crate_id,name,repository,downloads,revdeps,top_category,popularity_band,is_core,stratum,created_at,latest_version_created_at,latest_version_year
212841,yew_styles,https://github.com/spielrs/yew-styles-page/tree/master/crate/yew_styles,42746,1,web-programming,mid,0,noncore,2020-02-26 23:15:03.589188+00,2021-11-28 17:55:23.645263+00,2021
1117218,zero4rs,https://github.com/chunhui2001/zero4rs,46227,0,web-programming,mid,0,noncore,2024-01-28 01:19:14.110838+00,2025-11-16 15:09:40.434846+00,2025
20718,pronghorn,https://github.com/pronghornframework/pronghorn,5186,0,web-programming,mid,0,noncore,2017-06-26 01:52:13.497049+00,2018-01-02 02:02:51.808494+00,2018
384945,icx-proxy,,17121,0,web-programming,mid,0,noncore,2021-04-15 18:23:11.126885+00,2023-10-11 18:43:58.037925+00,2023
757592,esp32-wroom-rp,https://github.com/Jim-Hodapp-Coaching/esp32-wroom-rp,1625,0,hardware-support,low,0,noncore,2023-01-13 03:50:01.569213+00,2023-01-13 03:50:01.569213+00,2023
157874,busylight,https://gitlab.com/Crowdedlight/busylight.rs,1834,0,hardware-support,low,0,noncore,2019-08-18 14:59:22.922453+00,2019-08-18 14:59:22.922453+00,2019
613151,efm32tg825-pac,https://github.com/efm32-rs/efm32tg-pacs,1672,0,hardware-support,low,0,noncore,2022-06-25 17:32:22.688685+00,2022-06-25 17:32:22.688685+00,2022
613566,clone_dyn_meta,https://github.com/Wandalen/wTools/tree/master/module/core/clone_dyn_meta,139428,51,algorithms,high,0,noncore,2022-06-26 14:32:30.069176+00,2025-11-13 22:42:44.693815+00,2025
1077264,chksum-sha2-384,https://github.com/chksum-rs/sha2-384,72843,2,algorithms,high,0,noncore,2023-12-21 17:18:55.958178+00,2024-12-07 17:47:17.40746+00,2024
342429,v-clickhouse-rs,https://github.com/suharev7/clickhouse-rs,8878,115,database,mid,0,noncore,2021-01-15 15:50:17.779572+00,2024-09-16 19:15:18.287266+00,2024
1680241,aerospike-macro,https://github.com/aerospike/aerospike-client-rust/,9964,6,database,mid,0,noncore,2025-05-19 18:40:44.722657+00,2025-09-25 13:56:27.329387+00,2025
1204097,geekorm-cli,https://github.com/42ByteLabs/geekorm,46474,0,database,mid,0,noncore,2024-04-10 21:38:20.522154+00,2025-03-16 11:58:48.844032+00,2025
570768,sqlui,,6319,0,database,mid,0,noncore,2022-04-20 04:34:06.619356+00,2022-04-22 22:21:11.216354+00,2022
648195,qrtool,https://github.com/sorairolake/qrtool,65677,0,command-line-utilities,high,0,noncore,2022-08-18 15:27:34.102398+00,2025-10-29 12:22:01.430968+00,2025
140273,rusty-ci,https://github.com/adam-mcdaniel/rusty-ci,72608,0,command-line-utilities,high,0,noncore,2019-06-10 19:51:47.993229+00,2019-08-16 19:20:53.93826+00,2019
307625,jsonp,https://github.com/bazaah/jsonp,5187,2,encoding,mid,0,noncore,2020-11-01 19:24:25.726776+00,2020-11-08 08:20:55.381173+00,2020
286090,gsj,https://github.com/usagi/gsj,4205,1,encoding,mid,0,noncore,2020-09-08 10:09:00.471198+00,2020-09-12 01:14:41.984835+00,2020
770968,archiv,https://github.com/FauxFaux/archiv,6734,0,encoding,mid,0,noncore,2023-01-29 14:56:23.058805+00,2024-01-03 21:34:16.526476+00,2024
749362,nom-teltonika,https://github.com/DamianoPellegrini/nom-teltonika,9327,0,encoding,mid,0,noncore,2023-01-02 13:02:14.056311+00,2024-11-25 16:36:03.73562+00,2024
