crate_id,name,repository,downloads,top_category,all_categories,created_year,updated_year,pop_stratum
1791120,dioxus-stores-macro,https://github.com/DioxusLabs/dioxus/,32792,uncategorized,,2025,2025,high
1771963,network-protocol,https://github.com/jamesgober/network-protocol,2382,asynchronous,"asynchronous,authentication,concurrency,cryptography,network-programming",2025,2025,low
1518929,http2,https://github.com/0x676e67/http2,113943,asynchronous,"asynchronous,network-programming,web-programming",2025,2025,high
1303445,logi_code,https://github.com/Q0tzly/logi_code,1318,uncategorized,,2024,2024,low
362888,timemachine,https://github.com/barrowsys/timemachine,9981,data-structures,"data-structures,date-and-time",2021,2021,mid
725779,light-curve-dmdt-exec,https://github.com/light-curve/light-curve-dmdt,4573,uncategorized,,2024,2024,low
774462,eksup,https://github.com/clowdhaus/eksup,13632,command-line-utilities,"command-line-utilities,text-processing",2023,2023,mid
587,allegro_ttf,https://github.com/SiegeLord/RustAllegro,83858,rendering,rendering::data-formats,2025,2025,high
1533680,lize,https://github.com/AWeirdDev/lize,1479,uncategorized,,2025,2025,low
697126,noisy_bevy,https://github.com/johanhelsing/noisy_bevy,39017,game-development,game-development,2025,2025,high
457395,rasn-pkix,https://github.com/librasn/rasn.git,8612508,uncategorized,,2025,2025,high
428679,hyper_api_service,https://github.com/TeaEntityLab/hyperAPIService,13839,uncategorized,,2021,2021,mid
1333274,discern,https://github.com/azjezz/discern,5697,asynchronous,"asynchronous,concurrency,web-programming",2024,2024,mid
66413,cue-sys,https://github.com/mistydemeo/libcue.rs,6377,external-ffi-bindings,"external-ffi-bindings,parser-implementations",2025,2025,mid
1462351,sync-cell-slice,https://github.com/vigna/sync-cell-slice-rs/,8197,concurrency,concurrency,2024,2024,mid
103991,range-alloc,https://github.com/gfx-rs/range-alloc,6015584,memory-management,memory-management,2025,2025,high
709087,parallel-processor,https://github.com/Guilucand/parallel-processor-rs,29834,uncategorized,,2025,2025,high
1378417,shlf,https://github.com/ab22593k/shelf,25120,uncategorized,,2025,2025,high
1467929,carbon-helius-atlas-ws-datasource,https://github.com/sevenlabs-hq/carbon,9597,encoding,encoding,2025,2025,mid
473211,smtp-dump,https://github.com/platy/smtp-dump,1594,email,"email,network-programming",2021,2021,low
902989,openlemmy,https://github.com/openlemmy/openlemmy/,1485,uncategorized,,2023,2023,low
1326997,imap-client,https://github.com/pimalaya/imap-client/,13380,email,email,2025,2025,mid
1396535,rs_isl,https://github.com/KonradKaralus/rs_isl,3570,simulation,simulation,2024,2024,low
457242,threema-client,https://github.com/TheJonny/threema-client-rs,1579,uncategorized,,2021,2021,low
153798,ajson,https://github.com/importcjj/rust-ajson,46973,encoding,encoding,2022,2022,high
1398355,easy_config_core,https://github.com/Syst3mz/easy_config,964,config,config,2024,2024,low
1726466,monadlisa,https://github.com/neurons-me/this.audio,456,command-line-utilities,"command-line-utilities,encoding",2025,2025,low
661118,catboost-sys,https://github.com/jlloh/catboost-rs,11218,uncategorized,,2022,2022,mid
1785415,logfusion,https://github.com/deepbrain/superconfig,390,api-bindings,"api-bindings,development-tools::debugging",2025,2025,low
1192703,spacecrafts,https://github.com/bmflynn/spacecrafts-rs,5932,aerospace,aerospace::space-protocols,2024,2024,mid
219492,iref,https://github.com/timothee-haudebourg/iref,4304438,internationalization,"internationalization,web-programming",2024,2024,high
980203,string-template-plus,https://github.com/Atreyagaurav/string-template-plus,28035,template-engine,"template-engine,text-processing",2024,2024,high
1233408,did-simple,https://github.com/NexusSocial/nexus-vr,5423,uncategorized,,2024,2024,mid
919742,serde_derive-x86_64-unknown-linux-gnu,https://github.com/serde-rs/serde,4800,no-std,"no-std,no-std::no-alloc",2023,2023,low
1818143,bwk-electrum,https://github.com/pythcoiner/bwk,1301,uncategorized,,2025,2025,low
1407291,solana-reward-info,https://github.com/anza-xyz/solana-sdk,1446434,uncategorized,,2025,2025,high
